Year,MonthDay,Holiday
2018,Jan-01,NewYearsDay
2018,Feb-19,PresidentsDay
2018,May-13,MothersDay
2018,Jun-17,FathersDay
2018,Oct-08,ColumbusDay
2018,Nov-22,ThanksgivingDay
2018,Jan-15,MLKingDay
2018,Mar-30,GoodFriday
2018,May-28,MemorialDay
2018,Jul-04,IndependenceDay
2018,Oct-31,Halloween
2018,Dec-25,Christmas
2018,Feb-14,ValentinesDay
2018,Apr-01,EasterSunday
2018,Jun-01,NationalDonutDay
2018,Sep-03,LaborDay
2018,Nov-11,VeteransDay
2019,Jan-01,NewYearsDay
2019,Feb-18,PresidentsDay
2019,May-12,MothersDay
2019,Jul-04,IndependenceDay
2019,Oct-31,Halloween
2019,Dec-25,Christmas
2019,Jan-21,MLKingDay
2019,Apr-19,GoodFriday
2019,May-27,MemorialDay
2019,Sep-02,LaborDay
2019,Nov-11,VeteransDay
2019,Feb-14,ValentinesDay
2019,Apr-21,EasterSunday
2019,Jun-16,FathersDay
2019,Oct-14,ColumbusDay
2019,Nov-28,ThanksgivingDay
2020,Jan-01,NewYearsDay
2020,Feb-17,PresidentsDay
2020,May-10,MothersDay
2020,Jul-03,IndependenceDayHoliday
2020,Oct-12,ColumbusDay
2020,Nov-26,ThanksgivingDay
2020,Jan-20,MLKingDay
2020,Apr-10,GoodFriday
2020,May-25,MemorialDay
2020,Jul-04,IndependenceDay
2020,Oct-31,Halloween
2020,Dec-25,Christmas
2020,Feb-14,ValentinesDay
2020,Apr-12,EasterSunday
2020,Jun-21,FathersDay
2020,Sep-07,LaborDay
2020,Nov-11,VeteransDay
2021,Jan-01,NewYearsDay
2021,Feb-15,PresidentsDay
2021,May-09,MothersDay
2021,Jun-20,FathersDay
2021,Sep-06,LaborDay
2021,Nov-11,VeteransDay
2021,Jan-18,MLKingDay
2021,Apr-02,GoodFriday
2021,May-31,MemorialDay
2021,Jul-04,IndependenceDay
2021,Oct-11,ColumbusDay
2021,Nov-25,ThanksgivingDay
2021,Feb-14,ValentinesDay
2021,Apr-04,EasterSunday
2021,Jun-04,NationalDonutDay
2021,Jul-05,IndependenceDayHoliday
2021,Oct-31,Halloween
2021,Dec-25,Christmas
2022,Jan-01,NewYearsDay
2022,Apr-15,GoodFriday
2022,Jun-19,Juneteenth
2022,Oct-19,ColumbusDay
2022,Dec-25,Christmas
2022,Jan-17,MLKingDay
2022,Apr-17,EasterSunday
2022,Jul-04,IndependenceDay
2022,Nov-11,VeteransDay
2022,Feb-21,PresidentsDay
2022,May-30,MemorialDay
2022,Sep-05,LaborDay
2022,Nov-24,ThanksgivingDay
2022,Dec-25,Christmas
2023,Jan-01,NewYearsDay
2023,Feb-14,ValentinesDay
2023,Apr-09,EasterSunday
2023,Jun-18,FathersDay
2023,Oct-09,ColumbusDay
2023,Nov-23,ThanksgivingDay
2023,Jan-02,NewYearsDay
2023,Feb-20,PresidentsDay
2023,May-14,MothersDay
2023,Jul-04,IndependenceDay
2023,Oct-31,Halloween
2023,Dec-25,Christmas
2023,Jan-16,MLKingDay
2023,Apr-07,GoodFriday
2023,May-29,MemorialDay
2023,Sep-04,LaborDay
2023,Nov-11,VeteransDay
